code,name
6M,40-MILE AIR
VY,A.C.E.
SM,ABERDEEN AIRWAYS,
GB,ABX AIR (CARGO)
VX,ACES 
XQ,ACTION AIRLINES
ZY,ADALBANAIR
IN,ADIRONDACK AIRLINES
JP,ADRIA AIRWAYS 
RE,AER ARANN 
EI,AER LINGUS
DU,AERIAL TRANSIT COMPANY(CARGO) 
JR,AERO CALIFORNIA
DF,AERO COACH AVIATION INT
2G,AERO DYNAMICS (CARGO)
YP,AERO LLOYD
QA,AEROCARIBE
3Q,AEROCHASQUI 
SU,AEROFLOT
FP,AEROLEASING S.A.
AR,AEROLINEAS ARGENTINAS
VG,AEROLINEAS EL SALVADOR (CARGO)
BQ,AEROMAR (CARGO)
AM,AEROMEXICO
XX,AERONAVES DEL PERU (CARGO)
RL,AERONICA
PO,AEROPELICANAIR SERVICES
WL,AEROPERLAS
PL,AEROPERU
6P,AEROPUMAS.A. (CARGO)
AW,AEROQUETZAL 
XU,AEROVIAS (CARGO),
ZI,AIGLE AZUR
DP,AIR 0
RK,AIR AFRIQUE 
AH,AIR ALGERIE 
3J,AIR ALLIANCE
4L,AIR ALMA
FQ,AIR ARUBA 
9A,AIR ATLANTIC LTD.
ES,AIR ATLANTIQUE
OU,AIR ATONABEE/CITY EXPRESS,
AX,AIR AURORA (CARGO) 
ZX,AIR B.C.
KF,AIR BOTNIA
BP,AIR BOTSWANA
VH,AIR BURKINA 
PB,AIR BURUNDI 
TY,AIR CALEDONIE 
SB,AIR CALEDONIE INTERNATIONAL 
AC,AIR CANADA
XC,AIR CARIBBEAN 
SF,AIR CHARTER
CA,AIR CHINA 
CE,AIR CITY S.A.
OR,AIR COMORES 
YN,AIR CREEBEC 
DJ,AIR DJIBOUTI
EN,AIR DOLOMITI
RQ,AIR ENGIADINA 
AE,AIR EUROPA
UX,AIR EUROPA (AIR ESPANA S.A.)
BS,AIR EXCHANGE (CARGO) 
VJ,AIR EXEL
DN,AIR EXEL (BELGIQUE)
NE,AIR EXEL (UK) LTD.
GS,AIR FOYLE
AF,AIR FRANCE
GN,AIR GABON 
IV,AIR GAMBIA
OG,AIR GUADELOUPE
GI,AIR GUINEE
ID,AIR GUYANE
GG,AIR HOLLAND B.V
OX,AIR HUDIK
AI,AIR INDIA 
9J,AIR INTEGRA
IT,AIR INTER 
3H,AIR INUIT
VU,AIR IVOIRE
JM,AIR JAMAICA
YH,AIR JET
UV,AIR KANGAROO ISLAND
QP,AIR KENYA AVIATION
UE,AIR L.A.
UL,AIR LANKA 
VD,AIR LIBERTE 
FU,AIR LITTORAL
MD,AIR MADAGASCAR
QM,AIR MALAWI
KM,AIR MALTA 
7N,AIR MANITOBA
NN,AIR MARTINIQUE
MR,AIR MAURITANIE
MK,AIR MAURITIUS 
ZV,AIR MIDWEST 
OM,AIR MONGOL
